,Reward,Reward_WM,L2_Coef,AvgDiff_Coef
0,1636.560658091917,-75408.83748099278,1.0,1.0
1,-368.27570260923954,-156723.29075798282,1.0,1.0
2,165.29840465997972,-43018.847396478566,1.0,1.0
3,-124.70102344183383,-7780.063131317368,1.0,1.0
4,72.72213733378791,833.3702830996597,1.0,1.0
5,284.55794403283636,2235.352309634257,1.0,1.0
6,998.7322128953085,-10377.808977647243,1.0,1.0
7,854.5222527680253,-2765.471098955534,1.0,1.0
8,1575.2415926081658,2298.0987706984392,1.0,1.0
9,2465.327739009663,2957.0782668581232,1.0,1.0
10,2095.7547565933073,2143.572410874441,1.0,1.0
11,2189.4954304260873,2261.15975446878,1.0,1.0
12,317.9830479480344,1571.682194423891,1.0,1.0
13,2454.8318181810228,2598.1533669920636,1.0,1.0
14,3027.270301246761,-7101.0949683527,1.0,1.0
15,3315.222815848277,2891.2670675223694,1.0,1.0
16,1512.2107552058865,-9745.74526720103,1.0,1.0
17,3095.8236802965253,3016.9891717575024,1.0,1.0
18,3126.739887511171,-707.097941774223,1.0,1.0
19,3377.7043336681977,3339.9539478769525,1.0,1.0
20,3214.1740473040586,3259.486726204166,0.7289999127388,1.3310000896453857
21,3087.0061970649567,3203.007033018954,0.7289999127388,1.3310000896453857
22,3070.4430172852276,3261.2923024583606,0.7289999127388,1.3310000896453857
23,4160.930030325226,4235.201299692597,0.7289999127388,1.3310000896453857
24,3773.067197474139,3776.364893230796,0.7289999127388,1.3310000896453857
25,4725.64274804172,4620.11756684836,0.7289999127388,1.3310000896453857
26,4288.177134160937,4125.726736967452,0.7289999127388,1.3310000896453857
27,3106.9822024695522,3071.700261871051,0.7289999127388,1.3310000896453857
28,5470.566755643365,5095.034946425027,0.7289999127388,1.3310000896453857
29,4375.455110402599,4194.854517052043,0.7289999127388,1.3310000896453857
30,4303.508522022551,4182.990034664423,0.7289999127388,1.3310000896453857
31,4030.7645277300276,4020.237783864513,0.7289999127388,1.3310000896453857
32,4878.7307991073985,4822.275852166489,0.7289999127388,1.3310000896453857
33,5156.083690717753,5012.824324321933,0.7289999127388,1.3310000896453857
34,6343.656247032459,6260.275228282902,0.7289999127388,1.3310000896453857
35,4193.941161220785,3912.295488068834,0.7289999127388,1.3310000896453857
36,5153.5593670507305,5007.118769326434,0.7289999127388,1.3310000896453857
37,4826.737215633205,4649.467781849578,0.7289999127388,1.3310000896453857
38,4928.990089644266,4790.906597375125,0.7289999127388,1.3310000896453857
39,5575.335822918341,5457.784767045453,0.7289999127388,1.3310000896453857
40,6032.898973546897,5914.967382133007,0.5314409136772156,1.7715611457824707
41,4616.130488825037,4573.182702403283,0.5314409136772156,1.7715611457824707
42,4717.251615973676,4552.632767283171,0.5314409136772156,1.7715611457824707
43,4842.8605404649825,5387.891732518561,0.5314409136772156,1.7715611457824707
44,6199.62201847605,6091.8828914362,0.5314409136772156,1.7715611457824707
45,5149.809529130664,5038.335950368503,0.5314409136772156,1.7715611457824707
46,5247.834331041688,5124.649348857533,0.5314409136772156,1.7715611457824707
47,5779.227832108506,5724.5571184631435,0.5314409136772156,1.7715611457824707
48,5282.234034282469,5202.76391631309,0.5314409136772156,1.7715611457824707
49,5451.9164373378635,5230.996106900275,0.5314409136772156,1.7715611457824707
50,5365.8668014131235,5328.279474245198,0.5314409136772156,1.7715611457824707
51,5211.005648124421,5147.362787023932,0.5314409136772156,1.7715611457824707
52,5734.793793418301,5335.218417111784,0.5314409136772156,1.7715611457824707
53,3901.6660529403052,3997.1595080843194,0.5314409136772156,1.7715611457824707
54,5450.545577038496,5332.869697423652,0.5314409136772156,1.7715611457824707
55,6709.199002358214,6473.313911638036,0.5314409136772156,1.7715611457824707
56,6559.060909058678,6395.115172925964,0.5314409136772156,1.7715611457824707
57,4573.15245452721,4476.648521545762,0.5314409136772156,1.7715611457824707
58,5380.537186695794,5156.829620855953,0.5314409136772156,1.7715611457824707
59,5316.886540839752,5140.104762344435,0.5314409136772156,1.7715611457824707
60,4926.486114452071,4820.204029336385,0.3874204158782959,2.357948064804077
61,7929.885597479547,7168.634311021655,0.3874204158782959,2.357948064804077
62,5066.768056305618,6929.801238368358,0.3874204158782959,2.357948064804077
63,5312.175010343443,5162.235942850821,0.3874204158782959,2.357948064804077
64,7108.152568923624,6969.502088175155,0.3874204158782959,2.357948064804077
65,4055.025919486362,4002.0681600026787,0.3874204158782959,2.357948064804077
66,5572.057551184644,5240.405499124155,0.3874204158782959,2.357948064804077
67,5604.024852738787,5174.444067188352,0.3874204158782959,2.357948064804077
68,4241.464340797666,4233.273906708229,0.3874204158782959,2.357948064804077
69,5477.813566710944,5405.790307685919,0.3874204158782959,2.357948064804077
70,5249.671369082619,5155.242809108645,0.3874204158782959,2.357948064804077
71,6611.48049685561,5976.644803513959,0.3874204158782959,2.357948064804077
72,6592.74695107432,6500.1873844346965,0.3874204158782959,2.357948064804077
73,6077.051982308397,6087.866881181859,0.3874204158782959,2.357948064804077
74,4974.325957234972,5055.827964451909,0.3874204158782959,2.357948064804077
75,4040.7393817735783,4149.875818364788,0.3874204158782959,2.357948064804077
76,4779.45833256217,4768.736040472611,0.3874204158782959,2.357948064804077
77,6931.9505849836905,6761.03713725172,0.3874204158782959,2.357948064804077
78,6632.979703891081,6393.324490253255,0.3874204158782959,2.357948064804077
79,8496.928034814937,8046.067264717771,0.3874204158782959,2.357948064804077
80,6250.377509984261,6043.686283284425,0.28242942690849304,3.1384289264678955
81,7687.662262098752,7569.215002230369,0.28242942690849304,3.1384289264678955
